orgvar | var | descr

loan_amnt | loan_amnt | The amount of the loan, the borrower applied for. 
term | term | The number of monthly payments. There are two values possible: '36' and '60'.
int_rate | int_rate | The interest rate, the borrower has to pay.
sub_grade | sub_grade | The loan grade assigned by Lending Club. Values range from 'A1' (lowest interest rate) to 'G5' (highest interest rate).
home_ownership | home_ownership | The home ownership status provided by a borrower during his registration.
annual_inc | annual_inc | The annual income provided by the borrower during registration.
issue_d | issue_d | The month which the loan was financed.
desc | desc | An optional description of the loan's characteristics provided by the borrower.
purpose | purpose | A fixed category chosen by the borrower.
title | title | A loan title provided by the borrower.
dti | dti | Lending Club Dictionary: A ratio calculated using the borrower's total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.
fico_range_low | fico_range_low | Lower boundary of the borrower's FICO score at the time of loan origination.
fico_range_high | fico_range_high | Upper boundary of the borrower's FICO score at the time of loan origination.
state | state | The full state name provided by the borrower in his loan application. E.g. 'Arizona', 'Georgia', 'Illinois', ...
loan_status | loan_status | The current status of the loan. Keep in mind loan_status might change, when the data set gets revised.
period | period | A variable which correspons to the different data sets available from Lending Club. Please have a look at the problem set for a detailed breakdown.
status_group | status_group | The grouped version of loan_status. There are three status groups possible: 'Paid', 'Late' and 'Current & Issued'. 'Late' comprises every loan in grace period or late in payment.
last_fico_range_high | last_fico_range_high | The most recent upper boundary of the borrower's FICO score.
 
verification_status | verification_status | Indicates whether the income or income source was verified by Lending Club
addr_state | addr_state | The abbreviated state provided by the borrower in his loan application.. E.g. 'AZ', 'GA', 'IL', ... 
revol_bal | revol_bal | The total revolving credit balance.
initial_list_status | initial_list_status | The initial listing status of the loan.
grade | grade | The loan grade assigned by Lending Club without further subdivisions:  Values range from 'A' (lowest interest rate) to 'G' (highest interest rate).
month | month | The month of loan origination.
year | year | The year of loan origination.

default | default | An aggregated version of loan_status. The possible values are 'Paid' and 'Default'.
mean_fico_range | mean_fico_range | The calculated mean between figo_range_low and fico_range_high at loan origination.
installment | installment | The monthly payment required to be paid by a borrower.
grade_B | grade_B | A binary dummy, 1 if the loan was graded as B.
grade_C | grade_C | A binary dummy, 1 if the loan was graded as C.
grade_D | grade_D | A binary dummy, 1 if the loan was graded as D.
grade_E | grade_E | A binary dummy, 1 if the loan was graded as E.
grade_F | grade_F | A binary dummy, 1 if the loan was graded as F.
grade_G | grade_G | A binary dummy, 1 if the loan was graded as G.
emp_length_1_year | emp_length_1_year | A binary dummy, 1 if the employment length of the borrower is 1 year.               
emp_length_2_years | emp_length_2_years | A binary dummy, 1 if the employment length of the borrower is 2 years.                 
emp_length_3_years | emp_length_3_years | A binary dummy, 1 if the employment length of the borrower is 3 years.        
emp_length_4_years | emp_length_4_years | A binary dummy, 1 if the employment length of the borrower is 4 years.      
emp_length_5_years | emp_length_5_years | A binary dummy, 1 if the employment length of the borrower is 5 years.      
emp_length_6_years | emp_length_6_years | A binary dummy, 1 if the employment length of the borrower is 6 years.      
emp_length_7_years | emp_length_7_years | A binary dummy, 1 if the employment length of the borrower is 7 years.      
emp_length_8_years | emp_length_8_years | A binary dummy, 1 if the employment length of the borrower is 8 years.      
emp_length_9_years | emp_length_9_years | A binary dummy, 1 if the employment length of the borrower is 9 years.      
emp_length___10_years | emp_length___10_years | A binary dummy, 1 if the employment length of the borrower is 10 years.
home_ownership_OWN | home_ownership_OWN | A binary dummy indicating the home ownership status provided by the borrower during registration. 
home_ownership_RENT | home_ownership_RENT | A binary dummy indicating the home ownership status provided by the borrower during registration.
verification_status_Source_Verified | verification_status_Source_Verified | A binary dummy indicating whether the income source of the borrower was verified.
verification_status_Verified | verification_status_Verified | A binary dummy indicating whether the income source of the borrower was verified.

purpose_credit_card | purpose_credit_card | A binary dummy indicating the loan's purpose choosen by the borrower.                  
purpose_debt_consolidation | purpose_debt_consolidation | A binary dummy indicating the loan's purpose choosen by the borrower.     
purpose_educational | purpose_educational | A binary dummy indicating the loan's purpose choosen by the borrower.                  
purpose_home_improvement | purpose_home_improvement | A binary dummy indicating the loan's purpose choosen by the borrower.         
purpose_house | purpose_house | A binary dummy indicating the loan's purpose choosen by the borrower.                       
purpose_major_purchase | purpose_major_purchase | A binary dummy indicating the loan's purpose choosen by the borrower.            
purpose_medical | purpose_medical | A binary dummy indicating the loan's purpose choosen by the borrower.                    
purpose_moving | purpose_moving | A binary dummy indicating the loan's purpose choosen by the borrower.                     
purpose_other | purpose_other | A binary dummy indicating the loan's purpose choosen by the borrower.                    
purpose_renewable_energy | purpose_renewable_energy | A binary dummy indicating the loan's purpose choosen by the borrower.          
purpose_small_business | purpose_small_business | A binary dummy indicating the loan's purpose choosen by the borrower.             
purpose_vacation | purpose_vacation | A binary dummy indicating the loan's purpose choosen by the borrower.                   
purpose_wedding | purpose_wedding | A binary dummy indicating the loan's purpose choosen by the borrower.                    
addr_state_AL | addr_state_AL | A binary dummy indicating the borrower's state.                    
addr_state_AR | addr_state_AR | A binary dummy indicating the borrower's state.                      
addr_state_AZ | addr_state_AZ | A binary dummy indicating the borrower's state.                      
addr_state_CA | addr_state_CA | A binary dummy indicating the borrower's state.                     
addr_state_CO | addr_state_CO | A binary dummy indicating the borrower's state.                   
addr_state_CT | addr_state_CT | A binary dummy indicating the borrower's state.                       
addr_state_DC | addr_state_DC | A binary dummy indicating the borrower's state. 
addr_state_DE | addr_state_DE | A binary dummy indicating the borrower's state.                       
addr_state_FL | addr_state_FL | A binary dummy indicating the borrower's state.                       
addr_state_GA | addr_state_GA | A binary dummy indicating the borrower's state.                       
addr_state_HI | addr_state_HI | A binary dummy indicating the borrower's state.                       
addr_state_IA | addr_state_IA | A binary dummy indicating the borrower's state.                       
addr_state_ID | addr_state_ID | A binary dummy indicating the borrower's state.                       
addr_state_IL | addr_state_IL | A binary dummy indicating the borrower's state.                       
addr_state_IN | addr_state_IN | A binary dummy indicating the borrower's state.                       
addr_state_KS | addr_state_KS | A binary dummy indicating the borrower's state.                       
addr_state_KY | addr_state_KY | A binary dummy indicating the borrower's state.                       
addr_state_LA | addr_state_LA | A binary dummy indicating the borrower's state.                       
addr_state_MA | addr_state_MA | A binary dummy indicating the borrower's state.                     
addr_state_MD | addr_state_MD | A binary dummy indicating the borrower's state.                       
addr_state_ME | addr_state_ME | A binary dummy indicating the borrower's state.                       
addr_state_MI | addr_state_MI | A binary dummy indicating the borrower's state.                     
addr_state_MN | addr_state_MN | A binary dummy indicating the borrower's state.                       
addr_state_MO | addr_state_MO | A binary dummy indicating the borrower's state.                       
addr_state_MS | addr_state_MS | A binary dummy indicating the borrower's state.                       
addr_state_MT | addr_state_MT | A binary dummy indicating the borrower's state.                       
addr_state_NC | addr_state_NC | A binary dummy indicating the borrower's state.                       
addr_state_ND | addr_state_ND | A binary dummy indicating the borrower's state.                       
addr_state_NE | addr_state_NE | A binary dummy indicating the borrower's state.                       
addr_state_NH | addr_state_NH | A binary dummy indicating the borrower's state.                       
addr_state_NJ | addr_state_NJ | A binary dummy indicating the borrower's state.                       
addr_state_NM | addr_state_NM | A binary dummy indicating the borrower's state.                     
addr_state_NV | addr_state_NV | A binary dummy indicating the borrower's state.                       
addr_state_NY | addr_state_NY | A binary dummy indicating the borrower's state.                     
addr_state_OH | addr_state_OH | A binary dummy indicating the borrower's state.                       
addr_state_OK | addr_state_OK | A binary dummy indicating the borrower's state.                       
addr_state_OR | addr_state_OR | A binary dummy indicating the borrower's state.                       
addr_state_PA | addr_state_PA | A binary dummy indicating the borrower's state.                       
addr_state_RI | addr_state_RI | A binary dummy indicating the borrower's state.                       
addr_state_SC | addr_state_SC | A binary dummy indicating the borrower's state.                       
addr_state_SD | addr_state_SD | A binary dummy indicating the borrower's state.                       
addr_state_TN | addr_state_TN | A binary dummy indicating the borrower's state.                       
addr_state_TX | addr_state_TX | A binary dummy indicating the borrower's state.                      
addr_state_UT | addr_state_UT | A binary dummy indicating the borrower's state.                       
addr_state_VA | addr_state_VA | A binary dummy indicating the borrower's state.                       
addr_state_VT | addr_state_VT | A binary dummy indicating the borrower's state.                       
addr_state_WA | addr_state_WA | A binary dummy indicating the borrower's state.                       
addr_state_WI | addr_state_WI | A binary dummy indicating the borrower's state.                       
addr_state_WV | addr_state_WV | A binary dummy indicating the borrower's state.                       
addr_state_WY | addr_state_WY | A binary dummy indicating the borrower's state.                                               
delinq_2yrs | delinq_2yrs | Lending Club Dictionary: The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years.                       
inq_last_6mths | inq_last_6mths | Lending Club Dictionary: The number of inquiries in past 6 months (excluding auto and mortgage inquiries).                     
open_acc | open_acc | The number of open credit lines.                          
pub_rec | pub_rec | Lending Club Dictionary: The number of derogatory public records.                          
revol_bal | revol_bal | The total revolving credit balance.                         
revol_util | revol_util | Lending Club Dictionary: Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit.                         
total_acc | total_acc | Lending Club Dictionary: The total number of credit lines currently in the borrower's credit file.                      
initial_list_status_w | initial_list_status_w | A binary dummy indicating the initial listing status of the loan.             
collections_12_mths_ex_med | collections_12_mths_ex_med | Lending Club Dictionary: Number of collections within last 12 months excluding medical collections at time of application for the secondary applicant.         
